version,flow_code,region_code,unit_reference,value,unit_emission,metric
v2.1.6,C_AL_LAND,CZ,Meuro,476.5732886297,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,DE,Meuro,361.5919605501,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,DK,Meuro,144.4877879043,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,ES,Meuro,334.5704774013,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,FI,Meuro,41.7189041583,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,FR,Meuro,302.410822485,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,GB,Meuro,223.475537179,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,GR,Meuro,222.2902922523,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,HR,Meuro,149.1281382825,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,HU,Meuro,332.5113451526,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,IE,Meuro,104.3081502707,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,IT,Meuro,350.5579661388,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,JP,Meuro,99.818097879,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,KR,Meuro,212.3147309679,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,LU,Meuro,323.7723998543,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,NL,Meuro,326.438098565,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,NO,Meuro,216.3607540987,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,PL,Meuro,323.2330390517,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,PT,Meuro,402.8279692908,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,RO,Meuro,73.45744272,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,RU,Meuro,414.5260848781,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,SE,Meuro,25.10585726,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,SI,Meuro,475.3442761268,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,SK,Meuro,135.4977199422,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,TR,Meuro,341.5820958771,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,US,Meuro,164.3204070785,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,WA,Meuro,299.272368834,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,WE,Meuro,462.7104501212,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,WF,Meuro,83.0065372036,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,WL,Meuro,198.3142131118,tonnes CO2eq,GWP100
v2.1.6,C_AL_LAND,WM,Meuro,461.5117697969,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,AU,Meuro,1546.0312135525,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,DE,Meuro,353.6763730734,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,ES,Meuro,908.6340230435,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,KR,Meuro,327.2204948095,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,MX,Meuro,46.2286680769,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,RU,Meuro,1507.2565988826,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,US,Meuro,650.1261351829,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,WA,Meuro,915.7033690747,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,WE,Meuro,1716.0912044258,tonnes CO2eq,GWP100
v2.1.6,C_ANTH,ZA,Meuro,1077.5547576237,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,AT,Meuro,-26573.4107768731,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,AU,Meuro,-25402.1983506877,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,BE,Meuro,-32649.6098105179,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,BG,Meuro,-87827.9613653656,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,CA,Meuro,-63515.5357644366,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,CH,Meuro,-121298.4279444378,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,CN,Meuro,-90962.4847313324,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,CY,Meuro,-26369.1776711067,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,CZ,Meuro,-46462.1865369226,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,DE,Meuro,-16348.2016396275,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,DK,Meuro,-9375.4964078389,tonnes CO2eq,GWP100
v2.1.6,C_ASHW,EE,Meuro,-231698.5832679572,tonnes CO2eq,GWP100
